status,facility_id,name,state,fuel,capacity_mw,latitude,longitude
accredited,ACC_SRPXQLG6,Stockland Rockhampton Shopping Centre - Solar - QLD,QLD,Solar,2.673,-27.410442,151.654836
accredited,ACC_SRPXQLE0,The Good Shepherd Home - Solar w SGU - QLD,QLD,Solar,0.314,-19.310198,146.762824
accredited,ACC_SRPXVCI5,Waverley Valley Care Community - Solar w SGU - VIC,VIC,Solar,0.15,-37.754520,144.980727
accredited,ACC_SRPYNS81,B&J Greenacre - Solar - NSW,NSW,Solar,0.4,-33.755819,150.957993
accredited,ACC_SRPYNS32,Bunnings Eastgardens - Solar - NSW,NSW,Solar,0.34,-33.918087,151.234095
accredited,ACC_SRPXVCQ1,CH3059 Midwest Logistics Hub (INGH1) - Solar - VIC,VIC,Solar,1.0,-37.754520,144.980727
accredited,ACC_SRPXVCK3,"Macaulay Rd, Kensington - Solar - VIC",VIC,Solar,0.198,-37.571336,144.890577
accredited,ACC_SRPVWAN0,MF Logistics Bvd - Solar - WA,WA,Solar,0.781,-31.950652,115.797876
accredited,ACC_SRPYNS37,Mirvac Switchyards Building 6 - Solar w SGU - NSW,NSW,Solar,0.2,-33.873754,151.209587
accredited,ACC_SRPXQL34,Oxley Grove Care Community - Solar - QLD,QLD,Solar,0.278,-27.507006,153.068285
accredited,ACC_SRPXNSW7,Stubbo - Solar - NSW,NSW,Solar,520.393,-32.015802,149.394000
accredited,ACC_SRPXQLB7,123 Sippy Downs - Solar - QLD,QLD,Solar,0.2,-26.446472,152.968523
accredited,ACC_SRPXQLH5,Agile Energy - RetireVerge 152kW - Solar w SGU – QLD,QLD,Solar,0.152,-27.228019,153.036599
accredited,ACC_SRPYNS72,Baked Provisions Sydney - 200.2kW - Solar w SGU - NSW,NSW,Solar,0.2,-33.873754,151.209587
accredited,ACC_SRPXVCQ3,Chadstone Freshfood - Solar - VIC,VIC,Solar,0.733,-37.882127,145.184951
accredited,ACC_SRPYNS86,Mcdonald College - Solar w SGU - NSW,NSW,Solar,0.253,-33.858675,151.087266
accredited,ACC_SRPXVCI2,Moe Newborough - Solar w SGU - VIC,VIC,Solar,0.189,-38.182139,146.291588
accredited,ACC_SRPYNS83,Nepean Hospital - Kingswood - Solar - NSW,NSW,Solar,0.52,-33.759932,150.713491
accredited,ACC_SRPXQLH0,PFI Darra-Solar w SGU-QLD,QLD,Solar,0.246,-27.541981,153.079185
accredited,ACC_SRPYNS64,REMONDIS-Tomago-Solar-w SGU-NSW,NSW,Solar,0.551,-32.815000,151.701111
accredited,ACC_SRPXQLI3,Story Fresh Produce - Solar - QLD,QLD,Solar,0.201,-27.410442,151.654836
accredited,ACC_SRPXQLI2,TIP TOP Carrara - Solar wSGU - QLD,QLD,Solar,0.221,-27.832586,153.290556
accredited,ACC_SRPXVCP7,Truganina - Solar - VIC,VIC,Solar,0.293,-37.840095,144.691109
accredited,ACC_SRPXVCJ7,Petstock DC Avalon - Solar - VIC,VIC,Solar,0.4,-37.898315,144.414928
accredited,ACC_SRPVSAZ0,REMONDIS-Wingfield-Solar-w SGU-SA,SA,Solar,0.397,-33.025198,151.554469
accredited,ACC_SRPVSAZ7,BAE Systems Edinburgh Parks - Solar - SA,SA,Solar,0.162,-34.847347,138.548115
accredited,ACC_SRPXVCQ2,Latrobe Leisure Morwell - Solar w SGU- VIC,VIC,Solar,0.214,-37.420180,143.908406
accredited,ACC_SRPXQLB1,Acacia Ridge - Solar - QLD,QLD,Solar,0.444,-27.508712,153.070962
accredited,ACC_SRPXVCQ5,GPE_LYKA WELLNESS - Solar - VIC,VIC,Solar,0.499,-37.882127,145.184951
accredited,ACC_SRPXVCP8,Greenlink 7 - Solar - VIC,VIC,Solar,0.42,-38.092066,145.295758
accredited,ACC_SRPYNS88,IBIS Care - Solar w SGU - NSW,NSW,Solar,0.323,-33.982269,151.109879
accredited,ACC_SRPYNS66,Agile Energy - T&P 361kW - Solar w SGU - NSW,NSW,Solar,0.361,-27.228019,153.036599
accredited,ACC_SRPXQLG8,Cairns Colonial Club - Solar - QLD,QLD,Solar,0.208,-17.259200,145.473229
accredited,ACC_SRPYNS93,CALABRIA FAMILY WINES PTY LTD - Solar w SGU - NSW,NSW,Solar,1.032,-28.523500,151.976200
accredited,ACC_SRPVSAZ4,Pikes Wines Pty Ltd - Solar w SGU - SA,SA,Solar,0.2,-34.097735,139.155603
accredited,ACC_SRPVWAN4,Region Group Currambine - Solar - WA,WA,Solar,1.48,-31.575103,115.658206
accredited,ACC_SRPXQLH3,Cubbie - Solar - QLD,QLD,Solar,3.44,-27.410442,151.654836
accredited,ACC_SRPXNSU4,DHL Skyline - Solar - NSW,NSW,Solar,1.0,-33.962343,150.801776
accredited,ACC_SRPXVCP5,Hendys Road Numurkah - Solar - VIC,VIC,Solar,6.162,-36.055319,145.478447
accredited,ACC_SRPVSAZ5,Woolworths Golden Grove (The Stables) 5632 - Solar - SA,SA,Solar,0.2,-34.920631,138.603969
accredited,ACC_SRPYNSA0,Gregory Hills Hotel - Solar w SGU - NSW,NSW,Solar,0.2,-34.022576,150.765531
accredited,ACC_SRPVSAZ2,Moyhall-Solar-SA,SA,Solar,8.203,-32.415551,137.839844
accredited,ACC_SRPXQLI8,AU371 -Lytton Industry U3 & U4 - Solar - QLD,QLD,Solar,0.291,-27.541981,153.079185
accredited,ACC_SRPYNS90,Kerarbury Station Almond Orchard - Solar - NSW,NSW,Solar,6.004,-31.556484,147.086076
accredited,ACC_SRPVSAZ3,Steel Building Systems - Solar - SA,SA,Solar,0.2,-34.609765,138.743423
accredited,ACC_SRPYNS97,Temperzone - 359.52kW - Solar W SGU - NSW,NSW,Solar,0.36,-33.873754,151.209587
accredited,ACC_SRPXQLG9,Cowboys HQ - Solar-QLD,QLD,Solar,0.264,-27.410442,151.654836
accredited,ACC_SRPYNS99,DUX MANUFACTURING LIMITED - Solar w SGU - NSW,NSW,Solar,0.4,-34.207749,150.568528
accredited,ACC_SRPXVCH9,GPT Highpoint DJ - Solar wSGU - VIC,VIC,Solar,0.47,-37.754520,144.980727
accredited,ACC_SRPXQLJ2,Mercy Place Cairns-Solar w SGU -QLD,QLD,Solar,0.279,-16.930249,145.749713
accredited,ACC_SRPXQLE4,Mirani Water Recycling Facility - Solar - QLD,QLD,Solar,0.17,-27.410442,151.654836
accredited,ACC_SRPYNSA3,OPAL Bankstown Terrace Care Community - Solar - NSW,NSW,Solar,0.239,-33.755819,150.957993
accredited,ACC_SRPYNSA4,OPAL Berkeley Care Community - Solar - NSW,NSW,Solar,0.169,-33.755819,150.957993
accredited,ACC_SRPXVCQ4,UCS Pakenham - Solar  - VIC,VIC,Solar,0.177,-38.092066,145.295758
